Air flow(TPH),Airflow 2(TPH),water flow,stoker speed,Temperature (oc),pressure(ps),Drum level(%)
68.8426,45.562,99.4898,485.204,433.223,55.9504,44.7932
69.2308,45.452,99.4898,483.673,435.702,56.7769,46.1146
70,45.401,99.4898,480.612,438.182,58.4298,49.089
70.76,45.3061,101.02,479.082,441.488,60.4132,50.5758
73.077,45.214,102.551,479.082,448.099,60.4132,48.7567
74.6,45.101,102.551,479.082,453.884,60.2479,47.7641
71.15,44.6939,101.02,479.082,454.711,59.7521,48.5897
68.07,44.6939,101.02,479.082,453.884,59.2562,48.9195
66.53,44.3878,99.4898,479.082,451.405,58.0992,47.7618
65.38,44.0816,99.4898,479.082,448.926,57.1074,46.9345
66.923,43.7755,97.9592,480.612,446.446,57.2727,46.4378
68.076,43.7755,97.9592,480.612,442.314,57.438,46.2716
68.46,44.0816,97.9592,479.082,440.661,57.438,47.4278
68.84,44.0816,96.4286,479.082,439.008,57.438,48.2534
69.23,43.7755,97.9592,479.082,438.182,57.438,49.4096
68.84,43.4694,101.02,479.082,438.182,57.6033,50.5658
66.92,43.4694,102.551,479.082,438.182,57.6033,51.3914
64.23,43.7755,99.4898,480.612,438.182,57.7686,52.0519
64.01,44.3878,97.9592,482.143,438.182,57.6033,51.5552
63.46,44.6939,97.9592,482.143,439.008,57.438,50.8932
62.69,43.4694,99.4898,482.143,440.661,57.1074,49.0741
63.07,42.8571,101.02,480.612,442.314,56.6116,47.5857
63.46,42.551,101.02,480.612,441.488,56.281,46.2625
65,43.1633,99.4898,482.143,440.661,55.9504,45.4352
66.15,43.4694,97.9592,482.143,439.835,55.7851,45.1038
66.53,43.7755,97.9592,482.143,439.008,55.6198,45.7641
66.15,44.3878,99.4898,483.673,437.355,55.9504,47.7467
65.769,45,99.4898,485.204,435.702,56.1157,48.9027
65.769,45.6122,99.4898,485.204,435.702,56.4463,48.9018
66.53,45.3061,99.4898,482.143,434.876,56.6116,50.058
67.69,45,101.02,480.612,434.876,56.7769,51.8753
68.07,45,99.4898,494.388,435.702,56.9421,52.2051
63.46,45.9184,96.4286,538.776,435.702,57.1074,52.3697
61.53,47.1429,94.898,563.265,436.529,57.2727,52.2036
64.23,48.0612,94.898,573.98,438.182,57.438,52.0374
66.15,48.9796,94.898,575.51,438.182,57.6033,51.8713
66.538,49.898,96.4286,575.51,439.008,57.2727,51.7052
66.2,50.5102,96.4286,575.51,440.661,56.9421,51.0431
63.84,50.5102,96.4286,575.51,442.314,56.4463,49.5547
61.23,50.5102,97.9592,575.51,443.14,56.281,49.3886
62.02,51.1224,97.9592,575.51,443.14,56.1157,49.3877
63.84,51.7347,97.9592,575.51,442.314,55.9504,48.891
66.15,52.3469,97.9592,575.51,441.488,55.7851,47.8984
68.84,52.3469,97.9592,575.51,441.488,56.1157,48.3934
63.46,51.7347,99.4898,575.8,442.314,56.281,49.0537
58.84,51.1224,99.4898,576.356,442.314,56.6116,49.3835
65.38,50.2041,99.4898,577.041,443.14,56.7769,50.2091
71.15,49.5918,99.4898,578.571,444.793,56.7769,53.0181
73.07,48.6735,99.4898,580.102,446.446,56.7769,56.4883
74.23,48.0612,101.02,580.102,447.273,56.6116,57.3139
75,48.9796,101.02,580.102,448.099,56.281,57.809
73.07,49.2857,102.551,578.571,449.752,55.6198,56.6511
70.76,48.3673,102.551,578.571,452.231,55.124,55.1626
69.23,47.1429,102.551,577.041,453.884,54.7934,50.0378
70.38,45.3061,101.02,577.041,455.537,54.4628,45.9047
71.923,46.8367,101.02,578.571,456.364,54.2975,44.7469
78.07,48.0612,102.551,578.571,456.364,54.6281,44.0849
76.53,49.5918,104.082,580.102,458.017,55.2893,43.9187
75,51.7347,105.612,573.98,459.669,56.4463,43.2567
73.84,52.9592,107.143,570.918,460.496,57.7686,41.7683
72.69,54.7959,108.673,566.327,461.322,58.9256,40.6104
72.3,55.102,110.204,569.388,461.322,60.0826,40.7748
72.4,54.4898,110.204,573.98,462.149,61.2397,41.4351
72.69,53.5714,111.735,578.571,462.975,62.2314,43.9136
72.7,51.1224,113.265,580.102,464.628,62.3967,45.5657
72.69,48.9796,114.796,578.571,466.281,62.3967,45.8954
72.307,47.449,116.327,578.571,467.107,62.3967,45.7292
71.53,48.0612,114.796,578.571,468.76,62.562,44.5714
70.38,48.9796,113.265,578.571,471.24,62.562,45.0664
68.84,47.7551,111.735,577.041,472.893,62.8926,47.049
67.307,45.9184,110.204,578.571,474.545,63.0579,48.5358
66.15,44.0816,108.673,578.571,475.372,63.2231,49.5267
70,43.7755,108.673,580.102,476.198,63.2231,51.0134
73.84,45,110.204,578.571,476.198,63.3884,52.4993
75,45.9184,111.735,577.041,475.372,63.719,52.8307
75.6,45.9184,113.265,575.51,475.372,63.8843,52.92
72.69,45.6122,110.204,573.98,477.025,63.945,53.01
70.4,45.3061,108.673,573.98,477.851,64.0496,52.3323
68.07,44.3878,107.143,573.98,478.678,64.2149,52.125
66.9,43.4694,105.612,573.98,479.504,64.3802,51.35
70.38,42.2449,105.612,572.449,480.331,64.3802,48.3628
74.23,40.7143,104.082,572.449,480.331,64.5455,47.205
68.46,40.102,102.551,573.98,481.983,64.3802,46.7082
65,39.4898,102.551,575.51,482.81,64.2149,45.5504
67.3,39.1837,101.02,577.041,483.636,64.2149,44.3925
69.23,38.8776,99.4898,578.571,484.463,64.0496,43.2346
71.53,38.5714,97.9592,578.571,485.289,64.0496,42.242
74.23,41.0204,101.02,580.102,486.942,64.0496,43.5635
71.923,43.4694,107.143,580.102,487.769,63.8843,45.2155
70,47.1429,110.204,581.633,488.595,64.0496,47.1982
70.76,48.0612,114.796,577.041,490.248,64.2149,48.3548
71.53,47.7551,119.388,570.918,491.901,64.3802,50.0068
75,47.1429,125.51,566.327,493.554,64.5455,51.4936
73.84,46.8367,125.51,564.796,494.38,64.5455,52.9801
71.9,46.8367,125.51,567.857,496.033,64.7107,54.1363
69.61,46.5306,125.51,569.388,496.86,64.876,54.7966
67.69,47.7551,127.041,570.918,497.686,64.7107,55.4569
65,48.3673,127.041,572.449,497.686,64.5455,56.1172
67.3,48.9796,128.571,572.449,498.512,64.3802,56.4469
69.7,49.5918,128.571,573.98,498.512,64.5455,54.2973
66.15,50.2041,128.571,573.98,499.339,64.5455,52.313
64.23,50.8163,128.571,573.98,500.165,64.5455,50.9898
69.23,50.8163,128.571,575.51,500.992,64.5455,50.1625
73.076,50.5102,127.041,576.1245,501.818,64.5455,50.4923
73.45,50.2041,127.041,577.041,501.818,64.7107,50.6567
73.84,49.898,127.041,578.571,501.818,64.7107,49.6641
72.69,49.2857,127.041,580.102,501.818,64.7107,48.6715
71.53,48.6735,127.041,580.102,501.818,64.5455,47.5137
73.08,48.3673,122.449,581.633,502.645,64.5455,46.0252
74.23,47.449,117.857,581.633,502.645,64.876,44.2062
72.69,46.8367,116.327,583.163,502.645,65.2066,42.5524
71.15,45.6122,114.796,583.163,502.645,64.5455,41.064
71.25,43.7755,111.735,583.163,502.645,65.3719,40.2367
71.92,42.551,107.143,584.694,502.645,65.3719,40.5664
72.69,41.6327,102.551,586.224,501.818,65.5372,40.8961
71.78,42.551,97.9592,587.755,501.818,65.7025,41.0606
70.38,43.7755,91.8367,589.286,501.818,65.8678,41.5556
68.46,45,93.3673,589.286,500.992,65.8678,42.5465
